,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,2021,2022,,,
1,,"""",,"""",,
2,,24.11%,"26,999",14.09%,"158,042",UNITED STATES
3,,15.86%,"17,759",13.32%,"149,410",TURKEY
4,,7.84%,"8,787",7.47%,"83,809",FRANCE
5,,8.98%,"10,063",6.80%,"76,280",UNITED ARAB EMIRATES
6,,13.07%,"14,636",5.95%,"66,801",GERMANY
7,,0.36%,412,5.19%,"58,295",ITALY
8,,3.40%,"3,808",5.05%,"56,639",UNITED KINGDOM
9,,6.34%,"7,104",3.54%,"39,742",UKRAINE
10,,0.16%,186,3.30%,"37,087",GEORGIA
11,,0.59%,668,3.15%,"35,415",SWITZERLAND
12,,1.35%,"1,516",2.98%,"33,510",AUSTRIA
13,,0.42%,472,2.72%,"30,583",HUNGARY
14,,0.41%,462,2.56%,"28,747",SPAIN
15,,0.29%,327,2.37%,"26,622",POLAND
16,,0.38%,427,2.36%,"26,480",BULGARIA
17,,2.79%,"3,130",2.29%,"25,680",RUSSIAN FEDERATION
18,,0.90%,"1,009",2.26%,"25,422",NETHERLANDS
19,,1.25%,"1,408",2.18%,"24,455",GREECE
20,,0.52%,583,2.16%,"24,302",ROMANIA
21,,0.55%,622,2.05%,"23,077",CYPRUS
22,,0.01%,19,1.33%,"15,004",CZECH REPUBLIC
23,,1.25%,"1,410",1.26%,"14,211",THAILAND
